taxid,species_taxid,genome,organism_name,infraspecific_name,accession,date,last_update,bioproject,assembly_level,submitter,genome_size,num_CDS,num_introns,sum_CDS_length,intron_per_kb
663331,63400,Arthroderma_benhamiae_cbs_112371.ASM15112v2,Trichophyton benhamiae CBS 112371,strain=CBS 112371,GCA_000151125,2014-12,2014-12,PRJNA30573,Contig,Arthroderma Genome Sequencing Consortium,22224160,7980,12672,11832042,1.07099
554155,63405,Arthroderma_otae_cbs_113480.ASM15114v1,Arthroderma otae CBS 113480,strain=CBS 113480,GCA_000151145,2010-06,2010-06,PRJNA30939,Scaffold,Broad Institute,23263091,8765,19986,12802803,1.56106
284811,33169,Ashbya_gossypii.ASM9102v1,Eremothecium gossypii ATCC 10895,strain=ATCC 10895,GCA_000091025,2010-10,2010-10,PRJNA13834,Complete Genome,"Biozentrum, University of Basel, Switzerland",9119312,4760,269,7004193,0.0384056
1034331,33169,Ashbya_gossypii_fdag1.ASM96883v1,Eremothecium gossypii FDAG1,strain=FDAG1,GCA_000968835,2013-04,2013-04,PRJNA39549,Complete Genome,"Biozentrum, University of Basel, Switzerland",9157154,4759,270,7003446,0.0385524
454130,454130,Aspergillus_calidoustus.Acal_Allpaths_LG,Aspergillus calidoustus,NA,GCA_001511075,2016-01,2016-01,PRJEB7718,Scaffold,HKI JENA,41102685,15134,29235,20706225,1.41189
344612,5057,Aspergillus_clavatus.CADRE,Aspergillus clavatus NRRL 1,strain=NRRL 1,GCA_000002715,2005-11,2008-03,PRJNA15664,Scaffold,J. Craig Venter Institute,27859441,9115,18832,13529165,1.39196
1392242,5059,Aspergillus_flavus_af70.ASM95283v1,Aspergillus flavus AF70,strain=AF70,GCA_000952835,2015-03,2015-03,PRJNA217045,Contig,JCVI,37027369,8431,18650,12951639,1.43997
332952,5059,Aspergillus_flavus.JCVI-afl1-v2.0,Aspergillus flavus NRRL3357,strain=NRRL3357,GCA_000006275,2015-06,2015-06,PRJNA13284,Scaffold,J. Craig Venter Institute,36892344,13482,24417,17050017,1.43208
451804,746128,Aspergillus_fumigatusa1163.CADRE,Aspergillus fumigatus A1163,strain=A1163,GCA_000150145,2008-04,2008-05,PRJNA18733,Scaffold,J. Craig Venter Institute,29205420,9914,19136,14416813,1.32734
330879,746128,Aspergillus_fumigatus.CADRE,Aspergillus fumigatus Af293,strain=Af293,GCA_000002655,2007-01,2010-11,PRJNA131,Chromosome,J. Craig Venter Institute,29420269,9627,18619,14238060,1.30769
1476192,746128,Aspergillus_fumigatus_var_rp_2014.AspFumNiv1_0,Aspergillus fumigatus var. RP-2014,strain=niveus,GCA_000731615,2015-10,2015-10,PRJNA237468,Scaffold,Oklahoma State University,27355096,8825,16946,13321112,1.27212
1437362,746128,Aspergillus_fumigatus_z5.ASM102932v1,Aspergillus fumigatus Z5,strain=Z5,GCA_001029325,2015-06,2015-06,PRJNA231983,Scaffold,Youzhi Miao,29356075,9540,21761,14508351,1.49989
293939,293939,Aspergillus_lentulus.Alt_assembly01,Aspergillus lentulus,strain=IFM 54703,GCA_001445615,2015-11,2015-11,PRJDB4311,Contig,Medical Mycology Research Center,30956128,9680,22026,15326976,1.43707
1069201,1069201,Aspergillus_luchuensis.AspL_2604,Aspergillus luchuensis,strain=RIB 2604,GCA_001602395,2016-03,2016-03,PRJDB4548,Contig,National Institute of Brewing,34183795,12895,22195,17182836,1.2917
227321,162425,Aspergillus_nidulans.ASM1142v1,Aspergillus nidulans FGSC A4,strain=FGSC A4,GCA_000011425,2006-09,2010-11,PRJEA40559,Chromosome,Eurofungbase (Eurofung),29925798,10533,24460,15266724,1.60218
227321,162425,Aspergillus_nidulans_fgsc_a4.ASM14920v2,Aspergillus nidulans FGSC A4,strain=FGSC A4,GCA_000149205,2015-03,2015-03,PRJNA130,Scaffold,Broad Institute,30068514,9541,25585,15231690,1.67972
425011,5061,Aspergillus_niger.ASM285v2,Aspergillus niger CBS 513.88,NA,GCA_000002855,2015-03,2015-03,PRJNA19275,Scaffold,"DSM, The Netherlands",33975768,13939,35905,18379990,1.95348
380704,5061,Aspergillus_niger_atcc_1015.ASPNI_v3_0,Aspergillus niger ATCC 1015,strain=ATCC 1015,GCA_000230395,2015-03,2015-03,PRJNA15785,Contig,DOE Joint Genome Institute,34853277,10947,23386,16015344,1.46022
5061,5061,Aspergillus_niger_gca_001515345.ASM151534v1,Aspergillus niger,strain=An76,GCA_001515345,2016-02,2016-02,PRJDB4313,Scaffold,"Shandong University, lushanwang",34880193,10373,25130,16973144,1.48057
1509407,41061,Aspergillus_nomius_nrrl_13137.ASM120477v1,Aspergillus nomius NRRL 13137,strain=NRRL 13137,GCA_001204775,2015-08,2015-08,PRJNA246595,Contig,USDA-ARS-SRRC,36138823,11914,28134,17957034,1.56674
138278,138278,Aspergillus_ochraceoroseus.ASM98666v1,Aspergillus ochraceoroseus,strain=SRRC1432,GCA_000986665,2015-05,2015-05,PRJNA275128,Contig,USDA-ARS-SRRC,24273657,7829,18133,12232053,1.48242
1197718,5062,Aspergillus_oryzae_100_8.Aspergillus_oryzae_100-8,Aspergillus oryzae 100-8,strain=100-8,GCA_000691885,2014-05,2014-05,PRJNA168079,Contig,Tianjin University of Science & Technology,36769262,11187,23213,15849984,1.46454
1160506,5062,Aspergillus_oryzae_3_042.AspOry3042,Aspergillus oryzae 3.042,strain=3.042,GCA_000269785,2015-03,2015-03,PRJNA88495,Contig,Tianjin University of Science & Technology,36547279,11383,23430,16108914,1.45447
510516,5062,Aspergillus_oryzae.ASM18445v3,Aspergillus oryzae RIB40,strain=RIB40,GCA_000184455,2011-06,2011-06,PRJNA20809,Chromosome,"National Institute of Technology and Evaluation (NITE), Japan",37912014,12061,23339,16280328,1.43357
1403190,5067,Aspergillus_parasiticus_su_1.ASM95608v1,Aspergillus parasiticus SU-1,strain=SU-1,GCA_000956085,2015-04,2015-04,PRJNA219623,Contig,JCVI,39465951,8645,19444,13314747,1.46034
308745,308745,Aspergillus_rambellii.ASM98664v1,Aspergillus rambellii,strain=SRRC1468,GCA_000986645,2015-12,2015-12,PRJNA275129,Contig,USDA-ARS-SRRC,26435630,7761,18193,12268470,1.48291
1388766,396024,Aspergillus_ruber_cbs_135680.Eurhe1,Aspergillus ruber CBS 135680,strain=CBS 135680,GCA_000600275,2014-05,2014-05,PRJNA215335,Scaffold,DOE Joint Genome Institute,26209327,10066,20152,13812386,1.45898
341663,33178,Aspergillus_terreus.CADRE,Aspergillus terreus NIH2624,strain=NIH2624,GCA_000149615,2006-09,2009-01,PRJNA15631,Scaffold,Broad Institute,29331195,10402,22706,15576351,1.45772
91492,91492,Aspergillus_udagawae.Aud_assembly01,Aspergillus udagawae,strain=IFM 46973,GCA_001078395,2015-11,2015-11,PRJDB3949,Contig,Medical Mycology Research Center,32185562,9999,22838,16002799,1.42713
40382,40382,Aspergillus_ustus.Austus1.0,Aspergillus ustus,strain=3.3904,GCA_000812125,2015-01,2015-01,PRJNA253260,Scaffold,Institute of developmentive and regenerative biology,38351268,706,1681,1361346,1.23481
1043003,46634,Aureobasidium_melanogenum_cbs_110374.Aureobasidium_pullulans_var_melanogenum_CBS_110374_v1_0,Aureobasidium melanogenum CBS 110374,strain=CBS 110374,GCA_000721775,2014-07,2014-07,PRJNA207873,Scaffold,DOE Joint Genome Institute,26203324,10584,16327,14118255,1.15645
1043004,559561,Aureobasidium_namibiae_cbs_147_97.Aureobasidium_pullulans_var_namibiae_CBS_147_97_v1_0,Aureobasidium namibiae CBS 147.97,strain=CBS 147.97,GCA_000721765,2015-08,2015-08,PRJNA207872,Scaffold,DOE Joint Genome Institute,25428601,10259,16330,13931151,1.17219
1043002,5580,Aureobasidium_pullulans_exf_150.Aureobasidium_pullulans_var_pullulans_EXF-150_assembly_version_1_0,Aureobasidium pullulans EXF-150,strain=EXF-150,GCA_000721785,2014-07,2014-07,PRJNA207874,Scaffold,DOE Joint Genome Institute,29621078,11844,17071,15804266,1.08015
1043005,1042127,Aureobasidium_subglaciale_exf_2481.Aureobasidium_pullulans_var_subglaciale_EXF-2481_v1_0,Aureobasidium subglaciale EXF-2481,strain=EXF-2481,GCA_000721755,2015-08,2015-08,PRJNA161477,Scaffold,JGI,25796716,10792,15647,14670416,1.06657
684364,109871,Batrachochytrium_dendrobatidis_jam81.v1.0,Batrachochytrium dendrobatidis JAM81,strain=JAM81,GCA_000203795,2011-04,2011-04,PRJNA41157,Scaffold,US DOE Joint Genome Institute (JGI-PGF),24315081,8696,28405,11732146,2.42113
717646,1709381,Baudoinia_panamericana_uamh_10762.Bauco1,Baudoinia panamericana UAMH 10762,strain=UAMH 10762,GCA_000338955,2015-09,2015-09,PRJNA53579,Scaffold,JGI,21875620,10508,11268,13139661,0.857556
655819,176275,Beauveria_bassiana_arsef_2860.ASM28067v1,Beauveria bassiana ARSEF 2860,strain=ARSEF 2860,GCA_000280675,2012-08,2012-08,PRJNA38719,Scaffold,"Zhejiang University, China",33697794,10364,17953,15547950,1.15469
1245745,176275,Beauveria_bassiana_d1_5.BBA1.0,Beauveria bassiana D1-5,strain=D1-5,GCA_000770705,2014-11,2014-11,PRJNA178080,Contig,"Institute of Plant Protection, Jilin Academy of Agricultural Sciences",36692259,11831,17661,17732316,0.995978
665024,5016,Bipolaris_maydis_atcc_48331.CocheC4_1,Bipolaris maydis ATCC 48331,strain=ATCC 48331,GCA_000354255,2013-04,2013-04,PRJNA83117,Scaffold,JGI,32929167,12705,20983,16587297,1.265
701091,5016,Bipolaris_maydis_c5.CocheC5_3,Bipolaris maydis C5,strain=C5,GCA_000338975,2013-02,2013-02,PRJNA42739,Scaffold,JGI,36456735,13311,21677,17095472,1.268
930090,101162,Bipolaris_oryzae_atcc_44560.Cochliobolus_miyabeanus_v1_0,Bipolaris oryzae ATCC 44560,strain=ATCC 44560,GCA_000523455,2014-04,2014-04,PRJNA160935,Scaffold,JGI,31362097,12002,19748,16070124,1.22886
665912,45130,Bipolaris_sorokiniana_nd90pr.Cocsa1,Bipolaris sorokiniana ND90Pr,strain=ND90Pr,GCA_000338995,2013-02,2013-02,PRJNA53923,Scaffold,JGI,34409167,12214,19449,16300401,1.19316
930091,40125,Bipolaris_victoriae_fi3.Cochliobolus_victoriae_v1_0,Bipolaris victoriae FI3,strain=FI3,GCA_000527765,2014-04,2014-04,PRJNA160941,Scaffold,JGI,32829575,12882,20442,16703078,1.22385
930089,5017,Bipolaris_zeicola_26_r_13.Cochliobolus_carbonum_v1_0,Bipolaris zeicola 26-R-13,strain=26-R-13,GCA_000523435,2014-04,2014-04,PRJNA160939,Scaffold,JGI,31267936,12853,19912,16535181,1.20422
653446,5039,Blastomyces_dermatitidis_atcc_18188.BD_ATCC18188_V1,Blastomyces dermatitidis ATCC 18188,strain=ATCC 18188,GCA_000151595,2015-07,2015-07,PRJNA39265,Scaffold,Broad Institute,73633833,10186,18928,12801894,1.47853
447095,5039,Blastomyces_dermatitidis_atcc_26199.BD_ATCC26199_V2,Blastomyces dermatitidis ATCC 26199,strain=ATCC 26199,GCA_000166155,2013-08,2013-08,PRJNA39263,Scaffold,Broad Institute,71515325,9180,18476,12517287,1.47604
559297,5039,Blastomyces_dermatitidis_er_3.ASM352v2,Blastomyces dermatitidis ER-3,strain=ER-3,GCA_000003525,2009-06,2009-06,PRJNA29171,Scaffold,Broad Institute,66608683,9539,21520,12879401,1.67089
559298,1681229,Blastomyces_gilchristii_slh14081.ASM385v2,Blastomyces gilchristii SLH14081,strain=SLH14081,GCA_000003855,2009-06,2009-06,PRJNA29173,Scaffold,Broad Institute,75404732,9587,21798,12921375,1.68697
546991,34373,Blumeria_graminis.EF1,Blumeria graminis f. sp. hordei DH14,strain=DH14,GCA_000151065,2013-04,2013-04,PRJNA28821,Scaffold,Blumeria Genome Sequencing Consortium,118726170,6470,11429,9413203,1.21415
1268274,34373,Blumeria_graminis_f_sp_tritici_96224.Bgt_454_newbler_assembly,Blumeria graminis f. sp. tritici 96224,strain=96224,GCA_000418435,2014-06,2014-06,PRJNA183607,Scaffold,University of Zurich,158944908,4024,6008,5331653,1.12686
930990,264124,Botryobasidium_botryosum_fd_172_ss1.Botbo1,Botryobasidium botryosum FD-172 SS1,strain=FD-172 SS1,GCA_000697705,2014-06,2014-06,PRJNA69807,Scaffold,JGI,46674321,16500,72932,19300459,3.77877
332648,40559,Botrytis_cinerea.ASM83294v1,Botrytis cinerea B05.10,strain=B05.10,GCA_000832945,2015-02,2015-05,PRJNA264284,Complete Genome,Wageningen University,42630066,11700,22759,17328016,1.31342
1290391,40559,Botrytis_cinerea_bcdw1.BcDW1,Botrytis cinerea BcDW1,strain=BcDW1,GCA_000349525,2013-03,2013-03,PRJNA188482,Scaffold,UC Davis,42132268,11028,20102,16689684,1.20446
999810,40559,Botrytis_cinerea_t4.BotFuc_Mar2011,Botrytis cinerea T4,NA,GCA_000227075,2013-05,2013-05,PRJNA64593,Scaffold,Genoscope,39511426,16353,24969,17387217,1.43606
1124627,5007,Brettanomyces_bruxellensis_awri1499.AWRI1499_v1.0,Brettanomyces bruxellensis AWRI1499,strain=AWRI1499,GCA_000259595,2014-09,2014-09,PRJNA78661,Contig,The Australian Wine Research Institute,12676548,4861,532,5211339,0.102085
1356009,264951,Byssochlamys_spectabilis_no_5.PVAR5_assembly01,Byssochlamys spectabilis No. 5,NA,GCA_000497085,2015-10,2015-10,PRJDB1394,Contig,Sojo University,29762401,8877,21774,14353068,1.51703
1094981,5476,Candida_albicans_12c.Cand_albi_12C_V2,Candida albicans 12C,strain=12C,GCA_000773845,2014-11,2014-11,PRJNA75209,Scaffold,Broad Institute,14897039,6277,382,8919942,0.0428254
1094987,5476,Candida_albicans_19f.Cand_albi_19F_V2,Candida albicans 19F,strain=19F,GCA_000775445,2014-11,2014-11,PRJNA75221,Scaffold,Broad Institute,14573765,6277,381,8913559,0.0427439
1165368,5476,Candida_albicans_ca6.Cand_albi_Ca6_V2,Candida albicans Ca6,strain=Ca6,GCA_000784695,2014-11,2014-11,PRJNA120431,Scaffold,Broad Institute,14716334,6303,376,8983418,0.0418549
1094988,5476,Candida_albicans_gc75.Cand_albi_GC75_V1,Candida albicans GC75,strain=GC75,GCA_000773735,2014-11,2014-11,PRJNA75223,Scaffold,Broad Institute,14696915,6310,380,8962487,0.0423989
1094982,5476,Candida_albicans_l26.Cand_albi_L26_V2,Candida albicans L26,strain=L26,GCA_000775455,2014-11,2014-11,PRJNA75211,Scaffold,Broad Institute,14516741,6291,386,8947305,0.0431415
1094991,5476,Candida_albicans_p34048.Cand_albi_P34048_V1,Candida albicans P34048,strain=P34048,GCA_000775465,2014-11,2014-11,PRJNA75229,Scaffold,Broad Institute,14542907,6276,377,8892287,0.0423963
1094985,5476,Candida_albicans_p37005.Cand_albi_P37005_V2,Candida albicans P37005,strain=P37005,GCA_000773745,2014-11,2014-11,PRJNA75217,Scaffold,Broad Institute,14473555,6271,379,8889042,0.0426368
1094992,5476,Candida_albicans_p37037.Cand_albi_P37037_V1,Candida albicans P37037,strain=P37037,GCA_000773825,2014-11,2014-11,PRJNA75231,Scaffold,Broad Institute,14475823,6299,380,8923681,0.0425833
1094993,5476,Candida_albicans_p37039.Cand_albi_P37039_V1,Candida albicans P37039,strain=P37039,GCA_000784515,2014-11,2014-11,PRJNA75233,Scaffold,Broad Institute,14523568,6257,379,8904126,0.0425645
1094996,5476,Candida_albicans_p57055.Cand_albi_P57055_V1,Candida albicans P57055,strain=P57055,GCA_000775505,2014-11,2014-11,PRJNA75239,Scaffold,Broad Institute,14594318,6287,382,8906441,0.0428903
1094990,5476,Candida_albicans_p57072.Cand_albi_P57072_V1,Candida albicans P57072,strain=P57072,GCA_000773805,2014-11,2014-11,PRJNA75227,Scaffold,Broad Institute,14509911,6254,377,8861390,0.0425441
1094986,5476,Candida_albicans_p60002.Cand_albi_P60002_V1,Candida albicans P60002,strain=P60002,GCA_000784525,2014-11,2014-11,PRJNA75219,Scaffold,Broad Institute,14791426,6234,383,8884377,0.0431094
1094994,5476,Candida_albicans_p75010.Cand_albi_P75010_V1,Candida albicans P75010,strain=P75010,GCA_000784575,2014-11,2014-11,PRJNA75235,Scaffold,Broad Institute,14862837,6245,379,8871587,0.0427207
1094995,5476,Candida_albicans_p75016.Cand_albi_P75016_V1,Candida albicans P75016,strain=P75016,GCA_000784595,2014-11,2014-11,PRJNA75237,Scaffold,Broad Institute,14680338,6235,383,8873530,0.0431621
1094997,5476,Candida_albicans_p75063.Cand_albi_P75063_V1,Candida albicans P75063,strain=P75063,GCA_000775525,2014-11,2014-11,PRJNA75241,Scaffold,Broad Institute,14453728,6260,382,8884269,0.0429973
1094998,5476,Candida_albicans_p76055.Cand_albi_P76055_V1,Candida albicans P76055,strain=P76055,GCA_000784505,2014-11,2014-11,PRJNA75243,Scaffold,Broad Institute,14453368,6228,376,8880761,0.0423387
1094999,5476,Candida_albicans_p76067.Cand_albi_P76067_V1,Candida albicans P76067,strain=P76067,GCA_000784495,2014-11,2014-11,PRJNA75245,Scaffold,Broad Institute,14622326,6249,380,8875596,0.042814
1095000,5476,Candida_albicans_p78042.Cand_albi_P78042_V1,Candida albicans P78042,strain=P78042,GCA_000784615,2014-11,2014-11,PRJNA75247,Scaffold,Broad Institute,14676842,6299,380,8951634,0.0424504
1094989,5476,Candida_albicans_p78048.Cand_albi_P78048_V1,Candida albicans P78048,strain=P78048,GCA_000773725,2014-11,2014-11,PRJNA75225,Scaffold,Broad Institute,14503432,6312,380,8893431,0.0427282
1094984,5476,Candida_albicans_p87.Cand_albi_P87_V2,Candida albicans P87,strain=P87,GCA_000774085,2014-11,2014-11,PRJNA75215,Scaffold,Broad Institute,14461023,6250,379,8965960,0.042271
1094983,5476,Candida_albicans_p94015.Cand_albi_P94015_V1,Candida albicans P94015,strain=P94015,GCA_000773755,2014-11,2014-11,PRJNA75213,Scaffold,Broad Institute,14742595,6241,388,8904909,0.0435715
237561,5476,Candida_albicans_sc5314.ASM18296v2,Candida albicans SC5314,strain=SC5314,GCA_000182965,2014-09,2014-09,PRJNA10701,Chromosome,Stanford University,27558918,14213,0,17829351,0
237561,5476,Candida_albicans_sc5314_gca_000784635.Cand_albi_SC5314_V4,Candida albicans SC5314,strain=SC5314,GCA_000784635,2014-11,2014-11,PRJNA120009,Scaffold,Broad Institute,15213099,6392,387,9107313,0.0424933
237561,5476,Candida_albicans_sc5314_gca_000784655.Cand_albi_SC5314_V3,Candida albicans SC5314,strain=SC5314,GCA_000784655,2014-11,2014-11,PRJNA191536,Scaffold,Broad Institute,14699893,6337,373,9063691,0.0411532
294748,5476,Candida_albicans_wo_1.ASM14944v2,Candida albicans WO-1,strain=WO-1,GCA_000149445,2009-06,2009-06,PRJNA16373,Chromosome,Broad Institute,14472953,5711,181,8171822,0.0221493
498019,498019,Candida_auris.ASM118947v1,[Candida] auris,strain=6684,GCA_001189475,2015-08,2015-08,PRJNA267757,Scaffold,Indian Institute of Science (IISc),12498763,7461,0,8011551,0
573826,42374,Candida_dubliniensis_cd36.ASM2694v1,Candida dubliniensis CD36,strain=CD36,GCA_000026945,2015-02,2015-02,PRJEA34697,Complete Genome,Wellcome Trust Sanger Institute,14618422,5854,374,8917779,0.0419387
5478,5478,Candida_glabrata.ASM254v2,[Candida] glabrata,strain=CBS 138,GCA_000002545,2015-02,2015-02,PRJNA13831,Chromosome,Genolevures Consortium,12318245,4584,115,6976830,0.0164831
5478,5478,Candida_glabrata_gca_001466525.ASM146652v1,[Candida] glabrata,NA,GCA_001466525,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",12622465,5206,323,8032060,0.0402138
5478,5478,Candida_glabrata_gca_001466535.ASM146653v1,[Candida] glabrata,NA,GCA_001466535,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",12604920,5191,308,7988205,0.0385568
5478,5478,Candida_glabrata_gca_001466565.ASM146656v1,[Candida] glabrata,NA,GCA_001466565,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",12865870,5330,319,8201396,0.0388958
5478,5478,Candida_glabrata_gca_001466575.ASM146657v1,[Candida] glabrata,NA,GCA_001466575,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",12826081,5293,329,8132945,0.0404528
5478,5478,Candida_glabrata_gca_001466635.ASM146663v1,[Candida] glabrata,NA,GCA_001466635,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",14559169,5985,421,9210230,0.04571
5478,5478,Candida_glabrata_gca_001466685.ASM146668v1,[Candida] glabrata,NA,GCA_001466685,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",12820484,5316,332,8152134,0.0407255
1245528,5479,Candida_maltosa_xu316.Cmaltosa_v01,Candida maltosa Xu316,NA,GCA_000344705,2014-09,2014-09,PRJNA184737,Contig,"Tianjin Institute of Industrial Biotechnology,Chinese Academy of Science",12826280,5986,1056,8587422,0.122971
273371,273371,Candida_orthopsilosis_co_90_125.ASM31587v1,Candida orthopsilosis,strain=Co 90-125,GCA_000315875,2015-02,2015-02,PRJEA83665,Chromosome,Trinity College Dublin,12659401,5678,384,8476815,0.0453
5480,5480,Candida_parapsilosis_cdc317.ASM18276v2,Candida parapsilosis,NA,GCA_000182765,2011-10,2011-10,PRJEA32889,Scaffold,Wellcome Trust Sanger Institute,13030174,5810,387,8788821,0.0440332
590646,45596,Candida_tenuis_atcc_10573.Candida_tenuis_v1_0,[Candida] tenuis ATCC 10573,strain=ATCC 10573,GCA_000223465,2011-08,2011-08,PRJNA33673,Scaffold,DOE Joint Genome Institute,10747050,5547,951,7343352,0.129505
294747,5482,Candida_tropicalis_mya_3404.ASM633v2,Candida tropicalis MYA-3404,strain=MYA-3404,GCA_000006335,2009-06,2009-06,PRJNA13675,Scaffold,Broad Institute,14421905,6163,34,8987424,0.00378306
1182541,43229,Capronia_coronata_cbs_617_96.Capr_coro_CBS_617_96_V1,Capronia coronata CBS 617.96,strain=CBS 617.96,GCA_000585585,2014-03,2014-03,PRJNA164585,Scaffold,Broad Institute,25807613,9231,11238,13978659,0.80394
1182542,43228,Capronia_epimyces_cbs_606_96.Capr_epim_CBS_606_96_V1,Capronia epimyces CBS 606.96,strain=CBS 606.96,GCA_000585565,2014-03,2014-03,PRJNA164587,Scaffold,Broad Institute,28889638,10469,13692,15482412,0.884358
5601,5601,Capronia_semi_immersa.Capr_semi_CBS27337_V1,Phialophora americana,strain=CBS 27337,GCA_000835435,2015-02,2015-02,PRJNA325795,Scaffold,Broad Institute,31616172,10919,15178,16546620,0.917287
401625,401625,Ceraceosorus_bombacis.Ceraceosorus_bombacis,Ceraceosorus bombacis,NA,GCA_900000165,2015-11,2015-11,PRJEB6935,Scaffold,IPF,26090089,8022,24326,11973453,2.03166
88771,88771,Ceratocystis_platani.ASM97888v1,Ceratocystis platani,strain=CFO,GCA_000978885,2015-04,2015-04,PRJNA278456,Contig,University of Neuchatel,29181415,5622,10218,8352873,1.22329
306901,38033,Chaetomium_globosum_cbs_148_51.ASM14336v1,Chaetomium globosum CBS 148.51,strain=CBS 148.51,GCA_000143365,2010-06,2010-06,PRJNA12795,Scaffold,"The Genome Sequencing Platform, The Genome Assembly Team",34886939,11048,23421,16467273,1.42228
759272,209285,Chaetomium_thermophilum_var_thermophilum_dsm_1495.CTHT_3.0,Chaetomium thermophilum var. thermophilum DSM 1495,strain=DSM 1495,GCA_000221225,2011-07,2011-07,PRJNA47065,Scaffold,EMBL,28322806,7165,13906,11781150,1.18036
1442370,89940,Cladophialophora_bantiana_cbs_173_52.Clad_bant_CBS_173_52_V1,Cladophialophora bantiana CBS 173.52,strain=CBS 173.52,GCA_000835475,2015-02,2015-02,PRJNA233316,Scaffold,Broad Institute,36722552,12758,17811,18246801,0.976116
1279043,86049,Cladophialophora_carrionii_cbs_160_54.Clad_carr_CBS_160_54_V1,Cladophialophora carrionii CBS 160.54,strain=CBS 160.54,GCA_000365165,2014-05,2014-05,PRJNA185784,Scaffold,Broad Institute,28991111,10373,12730,15269427,0.833692
569365,569365,Cladophialophora_immunda.Clad_immu_CBS83496_V1,Cladophialophora immunda,strain=CBS 83496,GCA_000835495,2015-02,2015-02,PRJNA325796,Scaffold,Broad Institute,43029152,12826,18755,18988005,0.987729
1182543,1182553,Cladophialophora_psammophila_cbs_110553.Clad_psam_CBS_110553_V1,Cladophialophora psammophila CBS 110553,strain=CBS 110553,GCA_000585535,2014-03,2014-03,PRJNA164589,Scaffold,Broad Institute,39420127,13421,18164,18878343,0.962161
1182544,470704,Cladophialophora_yegresii_cbs_114405.Clad_yegr_CBS_114405_V1,Cladophialophora yegresii CBS 114405,strain=CBS 114405,GCA_000585515,2014-03,2014-03,PRJNA164591,Scaffold,Broad Institute,27898422,10118,11961,14749848,0.810924
