taxid,species_taxid,genome,organism_name,infraspecific_name,accession,date,last_update,bioproject,assembly_level,submitter,genome_size,num_CDS,intron_per_kb
330879,746128,Aspergillus_fumigatus.CADRE,Aspergillus fumigatus Af293,strain=Af293,GCA_000002655,2007-01,2010-11,PRJNA131,Chromosome,J. Craig Venter Institute,29420269,9627,1.71670214
1476192,746128,Aspergillus_fumigatus_var_rp_2014.AspFumNiv1_0,Aspergillus fumigatus var. RP-2014,strain=niveus,GCA_000731615,2015-10,2015-10,PRJNA237468,Scaffold,Oklahoma State University,27355096,8825,1.598897423
1437362,746128,Aspergillus_fumigatus_z5.ASM102932v1,Aspergillus fumigatus Z5,strain=Z5,GCA_001029325,2015-06,2015-06,PRJNA231983,Scaffold,Youzhi Miao,29356075,9540,1.967565345
293939,293939,Aspergillus_lentulus.Alt_assembly01,Aspergillus lentulus,strain=IFM 54703,GCA_001445615,2015-11,2015-11,PRJDB4311,Contig,Medical Mycology Research Center,30956128,9680,1.781687622
1069201,1069201,Aspergillus_luchuensis.AspL_2604,Aspergillus luchuensis,strain=RIB 2604,GCA_001602395,2016-03,2016-03,PRJDB4548,Contig,National Institute of Brewing,34183795,12895,1.777462994
227321,162425,Aspergillus_nidulans.ASM1142v1,Aspergillus nidulans FGSC A4,strain=FGSC A4,GCA_000011425,2006-09,2010-11,PRJEA40559,Chromosome,Eurofungbase (Eurofung),29925798,10533,2.48331767
227321,162425,Aspergillus_nidulans_fgsc_a4.ASM14920v2,Aspergillus nidulans FGSC A4,strain=FGSC A4,GCA_000149205,2015-03,2015-03,PRJNA130,Scaffold,Broad Institute,30068514,9541,2.248786517
425011,5061,Aspergillus_niger.ASM285v2,Aspergillus niger CBS 513.88,NA,GCA_000002855,2015-03,2015-03,PRJNA19275,Scaffold,"DSM, The Netherlands",33975768,13939,2.892637979
380704,5061,Aspergillus_niger_atcc_1015.ASPNI_v3_0,Aspergillus niger ATCC 1015,strain=ATCC 1015,GCA_000230395,2015-03,2015-03,PRJNA15785,Contig,DOE Joint Genome Institute,34853277,10947,1.796657894
5061,5061,Aspergillus_niger_gca_001515345.ASM151534v1,Aspergillus niger,strain=An76,GCA_001515345,2016-02,2016-02,PRJDB4313,Scaffold,"Shandong University, lushanwang",34880193,10373,1.832073316
1509407,41061,Aspergillus_nomius_nrrl_13137.ASM120477v1,Aspergillus nomius NRRL 13137,strain=NRRL 13137,GCA_001204775,2015-08,2015-08,PRJNA246595,Contig,USDA-ARS-SRRC,36138823,11914,1.917851128
138278,138278,Aspergillus_ochraceoroseus.ASM98666v1,Aspergillus ochraceoroseus,strain=SRRC1432,GCA_000986665,2015-05,2015-05,PRJNA275128,Contig,USDA-ARS-SRRC,24273657,7829,1.931948401
1197718,5062,Aspergillus_oryzae_100_8.Aspergillus_oryzae_100-8,Aspergillus oryzae 100-8,strain=100-8,GCA_000691885,2014-05,2014-05,PRJNA168079,Contig,Tianjin University of Science & Technology,36769262,11187,1.823252977
1160506,5062,Aspergillus_oryzae_3_042.AspOry3042,Aspergillus oryzae 3.042,strain=3.042,GCA_000269785,2015-03,2015-03,PRJNA88495,Contig,Tianjin University of Science & Technology,36547279,11383,1.818886327
510516,5062,Aspergillus_oryzae.ASM18445v3,Aspergillus oryzae RIB40,strain=RIB40,GCA_000184455,2011-06,2011-06,PRJNA20809,Chromosome,"National Institute of Technology and Evaluation (NITE), Japan",37912014,12061,1.816220744
1403190,5067,Aspergillus_parasiticus_su_1.ASM95608v1,Aspergillus parasiticus SU-1,strain=SU-1,GCA_000956085,2015-04,2015-04,PRJNA219623,Contig,JCVI,39465951,8645,1.83316046
308745,308745,Aspergillus_rambellii.ASM98664v1,Aspergillus rambellii,strain=SRRC1468,GCA_000986645,2015-12,2015-12,PRJNA275129,Contig,USDA-ARS-SRRC,26435630,7761,1.94928028
1388766,396024,Aspergillus_ruber_cbs_135680.Eurhe1,Aspergillus ruber CBS 135680,strain=CBS 135680,GCA_000600275,2014-05,2014-05,PRJNA215335,Scaffold,DOE Joint Genome Institute,26209327,10066,1.859063062
341663,33178,Aspergillus_terreus.CADRE,Aspergillus terreus NIH2624,strain=NIH2624,GCA_000149615,2006-09,2009-01,PRJNA15631,Scaffold,Broad Institute,29331195,10402,1.860800896
91492,91492,Aspergillus_udagawae.Aud_assembly01,Aspergillus udagawae,strain=IFM 46973,GCA_001078395,2015-11,2015-11,PRJDB3949,Contig,Medical Mycology Research Center,32185562,9999,1.758747262
40382,40382,Aspergillus_ustus.Austus1.0,Aspergillus ustus,strain=3.3904,GCA_000812125,2015-01,2015-01,PRJNA253260,Scaffold,Institute of developmentive and regenerative biology,38351268,706,1.570268226
1043003,46634,Aureobasidium_melanogenum_cbs_110374.Aureobasidium_pullulans_var_melanogenum_CBS_110374_v1_0,Aureobasidium melanogenum CBS 110374,strain=CBS 110374,GCA_000721775,2014-07,2014-07,PRJNA207873,Scaffold,DOE Joint Genome Institute,26203324,10584,1.524760484
1043004,559561,Aureobasidium_namibiae_cbs_147_97.Aureobasidium_pullulans_var_namibiae_CBS_147_97_v1_0,Aureobasidium namibiae CBS 147.97,strain=CBS 147.97,GCA_000721765,2015-08,2015-08,PRJNA207872,Scaffold,DOE Joint Genome Institute,25428601,10259,1.562309648
1043002,5580,Aureobasidium_pullulans_exf_150.Aureobasidium_pullulans_var_pullulans_EXF-150_assembly_version_1_0,Aureobasidium pullulans EXF-150,strain=EXF-150,GCA_000721785,2014-07,2014-07,PRJNA207874,Scaffold,DOE Joint Genome Institute,29621078,11844,1.390500893
1043005,1042127,Aureobasidium_subglaciale_exf_2481.Aureobasidium_pullulans_var_subglaciale_EXF-2481_v1_0,Aureobasidium subglaciale EXF-2481,strain=EXF-2481,GCA_000721755,2015-08,2015-08,PRJNA161477,Scaffold,JGI,25796716,10792,1.401259172
684364,109871,Batrachochytrium_dendrobatidis_jam81.v1.0,Batrachochytrium dendrobatidis JAM81,strain=JAM81,GCA_000203795,2011-04,2011-04,PRJNA41157,Scaffold,US DOE Joint Genome Institute (JGI-PGF),24315081,8696,2.684069528
717646,1709381,Baudoinia_panamericana_uamh_10762.Bauco1,Baudoinia panamericana UAMH 10762,strain=UAMH 10762,GCA_000338955,2015-09,2015-09,PRJNA53579,Scaffold,JGI,21875620,10508,1.114171819
655819,176275,Beauveria_bassiana_arsef_2860.ASM28067v1,Beauveria bassiana ARSEF 2860,strain=ARSEF 2860,GCA_000280675,2012-08,2012-08,PRJNA38719,Scaffold,"Zhejiang University, China",33697794,10364,1.625605952
1245745,176275,Beauveria_bassiana_d1_5.BBA1.0,Beauveria bassiana D1-5,strain=D1-5,GCA_000770705,2014-11,2014-11,PRJNA178080,Contig,"Institute of Plant Protection, Jilin Academy of Agricultural Sciences",36692259,11831,1.250202891
665024,5016,Bipolaris_maydis_atcc_48331.CocheC4_1,Bipolaris maydis ATCC 48331,strain=ATCC 48331,GCA_000354255,2013-04,2013-04,PRJNA83117,Scaffold,JGI,32929167,12705,1.59040393
701091,5016,Bipolaris_maydis_c5.CocheC5_3,Bipolaris maydis C5,strain=C5,GCA_000338975,2013-02,2013-02,PRJNA42739,Scaffold,JGI,36456735,13311,1.607223798
930090,101162,Bipolaris_oryzae_atcc_44560.Cochliobolus_miyabeanus_v1_0,Bipolaris oryzae ATCC 44560,strain=ATCC 44560,GCA_000523455,2014-04,2014-04,PRJNA160935,Scaffold,JGI,31362097,12002,1.579188318
665912,45130,Bipolaris_sorokiniana_nd90pr.Cocsa1,Bipolaris sorokiniana ND90Pr,strain=ND90Pr,GCA_000338995,2013-02,2013-02,PRJNA53923,Scaffold,JGI,34409167,12214,1.490673887
930091,40125,Bipolaris_victoriae_fi3.Cochliobolus_victoriae_v1_0,Bipolaris victoriae FI3,strain=FI3,GCA_000527765,2014-04,2014-04,PRJNA160941,Scaffold,JGI,32829575,12882,1.523567388
930089,5017,Bipolaris_zeicola_26_r_13.Cochliobolus_carbonum_v1_0,Bipolaris zeicola 26-R-13,strain=26-R-13,GCA_000523435,2014-04,2014-04,PRJNA160939,Scaffold,JGI,31267936,12853,1.487590748
653446,5039,Blastomyces_dermatitidis_atcc_18188.BD_ATCC18188_V1,Blastomyces dermatitidis ATCC 18188,strain=ATCC 18188,GCA_000151595,2015-07,2015-07,PRJNA39265,Scaffold,Broad Institute,73633833,10186,1.835787104
447095,5039,Blastomyces_dermatitidis_atcc_26199.BD_ATCC26199_V2,Blastomyces dermatitidis ATCC 26199,strain=ATCC 26199,GCA_000166155,2013-08,2013-08,PRJNA39263,Scaffold,Broad Institute,71515325,9180,1.849595439
559297,5039,Blastomyces_dermatitidis_er_3.ASM352v2,Blastomyces dermatitidis ER-3,strain=ER-3,GCA_000003525,2009-06,2009-06,PRJNA29171,Scaffold,Broad Institute,66608683,9539,2.381045435
559298,1681229,Blastomyces_gilchristii_slh14081.ASM385v2,Blastomyces gilchristii SLH14081,strain=SLH14081,GCA_000003855,2009-06,2009-06,PRJNA29173,Scaffold,Broad Institute,75404732,9587,2.400537201
546991,34373,Blumeria_graminis.EF1,Blumeria graminis f. sp. hordei DH14,strain=DH14,GCA_000151065,2013-04,2013-04,PRJNA28821,Scaffold,Blumeria Genome Sequencing Consortium,118726170,6470,1.71587172
1268274,34373,Blumeria_graminis_f_sp_tritici_96224.Bgt_454_newbler_assembly,Blumeria graminis f. sp. tritici 96224,strain=96224,GCA_000418435,2014-06,2014-06,PRJNA183607,Scaffold,University of Zurich,158944908,4024,1.539216725
930990,264124,Botryobasidium_botryosum_fd_172_ss1.Botbo1,Botryobasidium botryosum FD-172 SS1,strain=FD-172 SS1,GCA_000697705,2014-06,2014-06,PRJNA69807,Scaffold,JGI,46674321,16500,3.869315456
332648,40559,Botrytis_cinerea.ASM83294v1,Botrytis cinerea B05.10,strain=B05.10,GCA_000832945,2015-02,2015-05,PRJNA264284,Complete Genome,Wageningen University,42630066,11700,1.773003034
1290391,40559,Botrytis_cinerea_bcdw1.BcDW1,Botrytis cinerea BcDW1,strain=BcDW1,GCA_000349525,2013-03,2013-03,PRJNA188482,Scaffold,UC Davis,42132268,11028,1.560091938
999810,40559,Botrytis_cinerea_t4.BotFuc_Mar2011,Botrytis cinerea T4,NA,GCA_000227075,2013-05,2013-05,PRJNA64593,Scaffold,Genoscope,39511426,16353,2.286662442
1124627,5007,Brettanomyces_bruxellensis_awri1499.AWRI1499_v1.0,Brettanomyces bruxellensis AWRI1499,strain=AWRI1499,GCA_000259595,2014-09,2014-09,PRJNA78661,Contig,The Australian Wine Research Institute,12676548,4861,0.1713841485
1356009,264951,Byssochlamys_spectabilis_no_5.PVAR5_assembly01,Byssochlamys spectabilis No. 5,NA,GCA_000497085,2015-10,2015-10,PRJDB1394,Contig,Sojo University,29762401,8877,1.867315171
1094981,5476,Candida_albicans_12c.Cand_albi_12C_V2,Candida albicans 12C,strain=12C,GCA_000773845,2014-11,2014-11,PRJNA75209,Scaffold,Broad Institute,14897039,6277,0.1011944241
1094987,5476,Candida_albicans_19f.Cand_albi_19F_V2,Candida albicans 19F,strain=19F,GCA_000775445,2014-11,2014-11,PRJNA75221,Scaffold,Broad Institute,14573765,6277,0.100303931
1165368,5476,Candida_albicans_ca6.Cand_albi_Ca6_V2,Candida albicans Ca6,strain=Ca6,GCA_000784695,2014-11,2014-11,PRJNA120431,Scaffold,Broad Institute,14716334,6303,0.09917498762
1094988,5476,Candida_albicans_gc75.Cand_albi_GC75_V1,Candida albicans GC75,strain=GC75,GCA_000773735,2014-11,2014-11,PRJNA75223,Scaffold,Broad Institute,14696915,6310,0.09998303328
1094982,5476,Candida_albicans_l26.Cand_albi_L26_V2,Candida albicans L26,strain=L26,GCA_000775455,2014-11,2014-11,PRJNA75211,Scaffold,Broad Institute,14516741,6291,0.1013653877
1094991,5476,Candida_albicans_p34048.Cand_albi_P34048_V1,Candida albicans P34048,strain=P34048,GCA_000775465,2014-11,2014-11,PRJNA75229,Scaffold,Broad Institute,14542907,6276,0.09930543196
1094985,5476,Candida_albicans_p37005.Cand_albi_P37005_V2,Candida albicans P37005,strain=P37005,GCA_000773745,2014-11,2014-11,PRJNA75217,Scaffold,Broad Institute,14473555,6271,0.1011623036
1094992,5476,Candida_albicans_p37037.Cand_albi_P37037_V1,Candida albicans P37037,strain=P37037,GCA_000773825,2014-11,2014-11,PRJNA75231,Scaffold,Broad Institute,14475823,6299,0.09959909986
1094993,5476,Candida_albicans_p37039.Cand_albi_P37039_V1,Candida albicans P37039,strain=P37039,GCA_000784515,2014-11,2014-11,PRJNA75233,Scaffold,Broad Institute,14523568,6257,0.1005689671
1094996,5476,Candida_albicans_p57055.Cand_albi_P57055_V1,Candida albicans P57055,strain=P57055,GCA_000775505,2014-11,2014-11,PRJNA75239,Scaffold,Broad Institute,14594318,6287,0.1007674107
1094990,5476,Candida_albicans_p57072.Cand_albi_P57072_V1,Candida albicans P57072,strain=P57072,GCA_000773805,2014-11,2014-11,PRJNA75227,Scaffold,Broad Institute,14509911,6254,0.1003008243
1094986,5476,Candida_albicans_p60002.Cand_albi_P60002_V1,Candida albicans P60002,strain=P60002,GCA_000784525,2014-11,2014-11,PRJNA75219,Scaffold,Broad Institute,14791426,6234,0.1015800491
1094994,5476,Candida_albicans_p75010.Cand_albi_P75010_V1,Candida albicans P75010,strain=P75010,GCA_000784575,2014-11,2014-11,PRJNA75235,Scaffold,Broad Institute,14862837,6245,0.1002630516
1094995,5476,Candida_albicans_p75016.Cand_albi_P75016_V1,Candida albicans P75016,strain=P75016,GCA_000784595,2014-11,2014-11,PRJNA75237,Scaffold,Broad Institute,14680338,6235,0.1014463747
1094997,5476,Candida_albicans_p75063.Cand_albi_P75063_V1,Candida albicans P75063,strain=P75063,GCA_000775525,2014-11,2014-11,PRJNA75241,Scaffold,Broad Institute,14453728,6260,0.1043184435
1094998,5476,Candida_albicans_p76055.Cand_albi_P76055_V1,Candida albicans P76055,strain=P76055,GCA_000784505,2014-11,2014-11,PRJNA75243,Scaffold,Broad Institute,14453368,6228,0.1006777129
1094999,5476,Candida_albicans_p76067.Cand_albi_P76067_V1,Candida albicans P76067,strain=P76067,GCA_000784495,2014-11,2014-11,PRJNA75245,Scaffold,Broad Institute,14622326,6249,0.1005100264
1095000,5476,Candida_albicans_p78042.Cand_albi_P78042_V1,Candida albicans P78042,strain=P78042,GCA_000784615,2014-11,2014-11,PRJNA75247,Scaffold,Broad Institute,14676842,6299,0.09989186331
1094989,5476,Candida_albicans_p78048.Cand_albi_P78048_V1,Candida albicans P78048,strain=P78048,GCA_000773725,2014-11,2014-11,PRJNA75225,Scaffold,Broad Institute,14503432,6312,0.09985767316
1094984,5476,Candida_albicans_p87.Cand_albi_P87_V2,Candida albicans P87,strain=P87,GCA_000774085,2014-11,2014-11,PRJNA75215,Scaffold,Broad Institute,14461023,6250,0.1009018312
1094983,5476,Candida_albicans_p94015.Cand_albi_P94015_V1,Candida albicans P94015,strain=P94015,GCA_000773755,2014-11,2014-11,PRJNA75213,Scaffold,Broad Institute,14742595,6241,0.1020682492
237561,5476,Candida_albicans_sc5314.ASM18296v2,Candida albicans SC5314,strain=SC5314,GCA_000182965,2014-09,2014-09,PRJNA10701,Chromosome,Stanford University,27558918,14213,0
237561,5476,Candida_albicans_sc5314_gca_000784635.Cand_albi_SC5314_V4,Candida albicans SC5314,strain=SC5314,GCA_000784635,2014-11,2014-11,PRJNA120009,Scaffold,Broad Institute,15213099,6392,0.09970975219
237561,5476,Candida_albicans_sc5314_gca_000784655.Cand_albi_SC5314_V3,Candida albicans SC5314,strain=SC5314,GCA_000784655,2014-11,2014-11,PRJNA191536,Scaffold,Broad Institute,14699893,6337,0.09786388007
294748,5476,Candida_albicans_wo_1.ASM14944v2,Candida albicans WO-1,strain=WO-1,GCA_000149445,2009-06,2009-06,PRJNA16373,Chromosome,Broad Institute,14472953,5711,0.05268088041
498019,498019,Candida_auris.ASM118947v1,[Candida] auris,strain=6684,GCA_001189475,2015-08,2015-08,PRJNA267757,Scaffold,Indian Institute of Science (IISc),12498763,7461,0
573826,42374,Candida_dubliniensis_cd36.ASM2694v1,Candida dubliniensis CD36,strain=CD36,GCA_000026945,2015-02,2015-02,PRJEA34697,Complete Genome,Wellcome Trust Sanger Institute,14618422,5854,0.1078480331
5478,5478,Candida_glabrata.ASM254v2,[Candida] glabrata,strain=CBS 138,GCA_000002545,2015-02,2015-02,PRJNA13831,Chromosome,Genolevures Consortium,12318245,4584,0.05370278163
5478,5478,Candida_glabrata_gca_001466525.ASM146652v1,[Candida] glabrata,NA,GCA_001466525,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",12622465,5206,0.08300042003
5478,5478,Candida_glabrata_gca_001466535.ASM146653v1,[Candida] glabrata,NA,GCA_001466535,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",12604920,5191,0.07902260707
5478,5478,Candida_glabrata_gca_001466565.ASM146656v1,[Candida] glabrata,NA,GCA_001466565,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",12865870,5330,0.08183515897
5478,5478,Candida_glabrata_gca_001466575.ASM146657v1,[Candida] glabrata,NA,GCA_001466575,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",12826081,5293,0.08789013329
5478,5478,Candida_glabrata_gca_001466635.ASM146663v1,[Candida] glabrata,NA,GCA_001466635,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",14559169,5985,0.09242965432
5478,5478,Candida_glabrata_gca_001466685.ASM146668v1,[Candida] glabrata,NA,GCA_001466685,2016-01,2016-01,PRJNA297263,Scaffold,"Oslo University Hospital, Rikshopitalet",12820484,5316,0.08598252827
1245528,5479,Candida_maltosa_xu316.Cmaltosa_v01,Candida maltosa Xu316,NA,GCA_000344705,2014-09,2014-09,PRJNA184737,Contig,"Tianjin Institute of Industrial Biotechnology,Chinese Academy of Science",12826280,5986,0.4015283211
273371,273371,Candida_orthopsilosis_co_90_125.ASM31587v1,Candida orthopsilosis,strain=Co 90-125,GCA_000315875,2015-02,2015-02,PRJEA83665,Chromosome,Trinity College Dublin,12659401,5678,0.1164591638
5480,5480,Candida_parapsilosis_cdc317.ASM18276v2,Candida parapsilosis,NA,GCA_000182765,2011-10,2011-10,PRJEA32889,Scaffold,Wellcome Trust Sanger Institute,13030174,5810,0.1131154188
590646,45596,Candida_tenuis_atcc_10573.Candida_tenuis_v1_0,[Candida] tenuis ATCC 10573,strain=ATCC 10573,GCA_000223465,2011-08,2011-08,PRJNA33673,Scaffold,DOE Joint Genome Institute,10747050,5547,0.1791432174
294747,5482,Candida_tropicalis_mya_3404.ASM633v2,Candida tropicalis MYA-3404,strain=MYA-3404,GCA_000006335,2009-06,2009-06,PRJNA13675,Scaffold,Broad Institute,14421905,6163,0.009874550381
1182541,43229,Capronia_coronata_cbs_617_96.Capr_coro_CBS_617_96_V1,Capronia coronata CBS 617.96,strain=CBS 617.96,GCA_000585585,2014-03,2014-03,PRJNA164585,Scaffold,Broad Institute,25807613,9231,1.107106871
1182542,43228,Capronia_epimyces_cbs_606_96.Capr_epim_CBS_606_96_V1,Capronia epimyces CBS 606.96,strain=CBS 606.96,GCA_000585565,2014-03,2014-03,PRJNA164587,Scaffold,Broad Institute,28889638,10469,1.170382317
5601,5601,Capronia_semi_immersa.Capr_semi_CBS27337_V1,Phialophora americana,strain=CBS 27337,GCA_000835435,2015-02,2015-02,PRJNA325795,Scaffold,Broad Institute,31616172,10919,1.196507328
401625,401625,Ceraceosorus_bombacis.Ceraceosorus_bombacis,Ceraceosorus bombacis,NA,GCA_900000165,2015-11,2015-11,PRJEB6935,Scaffold,IPF,26090089,8022,2.757873879
88771,88771,Ceratocystis_platani.ASM97888v1,Ceratocystis platani,strain=CFO,GCA_000978885,2015-04,2015-04,PRJNA278456,Contig,University of Neuchatel,29181415,5622,1.642465142
306901,38033,Chaetomium_globosum_cbs_148_51.ASM14336v1,Chaetomium globosum CBS 148.51,strain=CBS 148.51,GCA_000143365,2010-06,2010-06,PRJNA12795,Scaffold,"The Genome Sequencing Platform, The Genome Assembly Team",34886939,11048,1.989473963
759272,209285,Chaetomium_thermophilum_var_thermophilum_dsm_1495.CTHT_3.0,Chaetomium thermophilum var. thermophilum DSM 1495,strain=DSM 1495,GCA_000221225,2011-07,2011-07,PRJNA47065,Scaffold,EMBL,28322806,7165,1.656734869
1442370,89940,Cladophialophora_bantiana_cbs_173_52.Clad_bant_CBS_173_52_V1,Cladophialophora bantiana CBS 173.52,strain=CBS 173.52,GCA_000835475,2015-02,2015-02,PRJNA233316,Scaffold,Broad Institute,36722552,12758,1.231932598
1279043,86049,Cladophialophora_carrionii_cbs_160_54.Clad_carr_CBS_160_54_V1,Cladophialophora carrionii CBS 160.54,strain=CBS 160.54,GCA_000365165,2014-05,2014-05,PRJNA185784,Scaffold,Broad Institute,28991111,10373,1.117517273
569365,569365,Cladophialophora_immunda.Clad_immu_CBS83496_V1,Cladophialophora immunda,strain=CBS 83496,GCA_000835495,2015-02,2015-02,PRJNA325796,Scaffold,Broad Institute,43029152,12826,1.222190529
1182543,1182553,Cladophialophora_psammophila_cbs_110553.Clad_psam_CBS_110553_V1,Cladophialophora psammophila CBS 110553,strain=CBS 110553,GCA_000585535,2014-03,2014-03,PRJNA164589,Scaffold,Broad Institute,39420127,13421,1.208093333
1182544,470704,Cladophialophora_yegresii_cbs_114405.Clad_yegr_CBS_114405_V1,Cladophialophora yegresii CBS 114405,strain=CBS 114405,GCA_000585515,2014-03,2014-03,PRJNA164591,Scaffold,Broad Institute,27898422,10118,1.103889866
1111077,5111,Claviceps_purpurea_20_1.ASM34735v1,Claviceps purpurea 20.1,strain=20.1,GCA_000347355,2013-04,2013-04,PRJEA76493,Scaffold,"Institute of Bioinformatics and Systems Biology, Helmholtz Zentrum Muenchen",32091443,8823,1.856719765
306902,36911,Clavispora_lusitaniae_atcc_42720.ASM383v1,Clavispora lusitaniae ATCC 42720,strain=ATCC 42720,GCA_000003835,2009-06,2009-06,PRJNA12753,Scaffold,Broad Institute,12114892,5936,0.004396539757
396776,5501,Coccidioides_immitis_h538_4.ASM14981v1,Coccidioides immitis H538.4,strain=H538.4,GCA_000149815,2016-03,2016-03,PRJNA17355,Scaffold,Broad Institute,27410839,10425,2.732155311
404692,5501,Coccidioides_immitis_rmscc_2394.ASM14989v1,Coccidioides immitis RMSCC 2394,strain=RMSCC 2394,GCA_000149895,2016-03,2016-03,PRJNA17713,Scaffold,Broad Institute,28908395,10357,2.667965983
454286,5501,Coccidioides_immitis_rmscc_3703.ASM15008v1,Coccidioides immitis RMSCC 3703,strain=RMSCC 3703,GCA_000150085,2015-07,2015-07,PRJNA17761,Scaffold,Broad Institute,27708786,10370,2.746699138
246410,5501,Coccidioides_immitis_rs.ASM14933v2,Coccidioides immitis RS,strain=RS,GCA_000149335,2015-03,2015-03,PRJNA12883,Scaffold,Broad Institute,29016019,9757,2.318583267
